taxonrank	scientificname	countrycode	locality	decimallatitude	decimallongitude	eventdate	basisofrecord	institutioncode	collectioncode	recordedby
SPECIES	Pseudoplatystoma punctifer	BR	Rio Amazonas, Santa Maria do Uruará	-1.848917	-53.478222	2015-08-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma tigrinum (Valenciennes, 1840)	BR	Rio Branco, a cima das corredeiras.	1.966083	-61.005972	2015-08-28T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma punctifer	BR	Rio Amazonas, Lago Grande	-2.0675	-54.823806	2015-08-21T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma tigrinum (Valenciennes, 1840)	BR	Rio Amazonas, Fatima de Urucurituba	-2.403861	-54.745833	2015-08-21T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Hypophthalmus marginatus Valenciennes, 1840	BR	Rio Amazonas	-2.413472	-54.676806	2015-08-21T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma fasciatum (Linnaeus, 1766)	BR	Rio Branco, em frente a cidade de Boa Vista.	2.844139	-60.635333	2015-08-28T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma punctifer	BR	Rio Amazonas, Arapichuna	-2.2235	-54.805833	2015-08-21T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Toxomerus watsoni (Curran, 1930)	BR	Serra da mocidade, 1050 m.	1.7	-61.783333	2016-01-25T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Oliveira,  M.; Xavier Filho, F. F.; Mahlmann, Thiago
GENUS	Argentinomyia Lynch Arribálzaga, 1891	BR	Serra da mocidade, 1050 m.	1.7	-61.783333	2016-01-25T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Oliveira,  M.; Xavier Filho, F. F.; Mahlmann, Thiago
GENUS	Argentinomyia Lynch Arribálzaga, 1891	BR	Serra da mocidade, 1050 m.	1.7	-61.783333	2016-01-25T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Oliveira,  M.; Xavier Filho, F. F.; Mahlmann, Thiago
